Guide	Gene	ctrl_1	ctrl_2	ctrl_3	test_1	test_2	test_3
ZNF730_+_23300127.23-P1P2_h5_Top5	ZNF730	2301	4045	2195	1761	2817	719
PLXNA3_+_153687045.23-P1_h5_Top5	PLXNA3	1790	2411	1323	1316	1341	399
NELFCD_-_57556782.23-P1P2_h5_Top5	NELFCD	894	1214	718	404	919	163
NHLH2_-_116383658.23-P1P2_h5_Top5	NHLH2	1217	1719	984	811	1097	261
ZNF718_+_124420.23-ENST00000510175.1,ENST00000511079.1,ENST00000513304.1,ENST00000513889.1_h5_Top5	ZNF718	660	848	464	481	671	114
ANKRD34B_-_79864932.23-P2_h5_Top5	ANKRD34B	4362	6269	3301	2814	3919	903
DZIP1_-_96296449.23-P1P2_h5_Top5	DZIP1	2482	3803	2581	1893	3054	647
SCAF4_-_33104343.23-P1P2_h5_Top5	SCAF4	3030	4782	2342	2096	3274	771
POU4F3_+_145718910.23-P1P2_h5_Top5	POU4F3	1651	2508	1073	1202	1411	326
TULP3_-_2986438.23-P1_h5_Top5	TULP3	2255	2887	1740	1665	2170	536
TGIF2LY_+_3447292.23-ENST00000321217.4,ENST00000559055.2_h5_Top5	TGIF2LY	2070	3448	1454	1468	2643	444
SKOR1_-_68115861.23-P1P2_h5_Top5	SKOR1	1035	1660	874	924	1175	276
MED4_+_48668988.23-P1P2_h5_Top5	MED4	750	1191	656	652	799	209
PRDM8_+_81105153.23-P2_h5_Top5	PRDM8	1230	2208	1004	1161	1540	373
TFAP2C_+_55204782.23-P1P2_h5_Top5	TFAP2C	1306	1700	1215	938	1214	338
CREM_-_35416657.23-ENST00000395895.2_h5_Top5	CREM	1453	2174	1058	857	1252	348
RBM4_+_66406324.23-P2_h5_Top5	RBM4	664	813	390	194	404	65
PRDM13_+_100061789.23-P1P2_h5_Top5	PRDM13	3044	3896	2431	1826	2695	544
CDKN2AIP_+_184365872.23-P1P2_h5_Top5	CDKN2AIP	1782	2051	1490	1006	1349	335
PAIP2_-_138677633.23-P1P2_h5_Top5	PAIP2	1698	2142	984	1221	1380	359
ARID3C_-_34628145.23-P1P2_h5_Top5	ARID3C	3674	4829	2538	2507	3469	790
PTPN20A_-_46619969.23-ENST00000374339.3_h5_Top5	PTPN20A	1583	2259	918	865	1302	318
TLE2_-_3028829.23-P1P2_h5_Top5	TLE2	713	918	486	409	534	152
ZFP1_-_75182670.23-P1P2_h5_Top5	ZFP1	1898	3024	1467	1144	1639	500
TBPL2_+_55907294.23-ENST00000247219.5_h5_Top5	TBPL2	2255	2926	1624	1203	2364	537
IGHMBP2_-_68671595.23-P1P2_h5_Top5	IGHMBP2	555	843	594	609	779	143
ATF7IP2_+_10480166.23-P1P2_h5_Top5	ATF7IP2	2717	4164	2297	1482	2456	517
ZNF574_-_42580351.23-P1_h5_Top5	ZNF574	72	168	62	57	54	33
KLF9_+_73028824.23-P1P2_h5_Top5	KLF9	2100	2975	1557	1598	2369	467
MSANTD4_+_105892893.23-P1P2_h5_Top5	MSANTD4	999	1026	547	504	644	151
ZNF506_-_19932541.23-P1P2_h5_Top5	ZNF506	785	1103	768	515	762	178
RNASE6_-_21249569.23-P1P2_h5_Top5	RNASE6	1743	2786	1462	1216	1902	448
ZNF684_+_40997382.23-P1P2_h5_Top5	ZNF684	1999	2071	1401	1550	1915	357
BRF2_+_37707146.23-P1P2_h5_Top5	BRF2	238	341	287	108	291	65
ZNF383_+_37709143.23-P1P2_h5_Top5	ZNF383	5065	7092	4088	3233	4734	1153
HAVCR1_-_156485716.23-P1P2_h5_Top5	HAVCR1	334	489	255	187	200	68
ZNF177_+_9435003.23-P1_h5_Top5	ZNF177	678	978	469	479	815	177
GRHL2_+_102504724.23-P1P2_h5_Top5	GRHL2	1598	2323	1308	877	1657	297
SMARCD3_-_150974174.23-P1_h5_Top5	SMARCD3	2022	3308	2067	1565	2255	561
GABPB2_-_151043701.23-P1P2_h5_Top5	GABPB2	1923	2652	1554	1063	1815	535
ZC3H11A_-_203764756.23-P1P2_h5_Top5	ZC3H11A	2419	3089	2275	1509	1861	511
RAD54L2_+_51575638.23-ENST00000409535.2_h5_Top5	RAD54L2	1657	2692	1411	1158	1196	397
RAVER2_+_65210786.23-P1P2_h5_Top5	RAVER2	625	1075	556	797	966	269
SP6_-_45928410.23-P1P2_h5_Top5	SP6	3976	4373	2161	2536	3760	844
OTOP3_+_72932029.23-P1P2_h5_Top5	OTOP3	2251	3564	2185	1908	2460	618
ZNF778_+_89284185.23-P1P2_h5_Top5	ZNF778	3190	4749	3122	2298	3527	922
ZNF143_-_9482607.23-P1P2_h5_Top5	ZNF143	314	341	227	287	289	75
HIVEP1_+_12012191.23-P1P2_h5_Top5	HIVEP1	165	241	96	96	197	46
MDFIC_+_114562568.23-P1P2_h5_Top5	MDFIC	2577	3551	2109	2002	2695	578
FEM1A_+_4791794.23-P1P2_h5_Top5	FEM1A	1696	2436	1326	1508	1675	439
FOXE1_+_100615510.23-P1P2_h5_Top5	FOXE1	2408	2960	1640	1573	1877	553
NTN3_+_2521754.23-P1P2_h5_Top5	NTN3	3084	4476	2612	2059	3155	741
NPAS3_-_33403913.23-P1P2_h5_Top5	NPAS3	1524	1871	962	995	1158	315
DUSP28_+_241500171.23-P1P2_h5_Top5	DUSP28	381	365	205	168	333	43
DMRT1_-_842170.23-P1P2_h5_Top5	DMRT1	1208	2118	996	1077	1469	333
ARID1B_-_157098817.23-P1_h5_Top5	ARID1B	3010	3866	2071	1830	2423	726
HIST2H3A_-_149824636.23-P1P2_h5_Top5	HIST2H3A	780	1173	505	488	640	179
ABT1_-_26597263.23-P1P2_h5_Top5	ABT1	203	249	156	105	312	46
SCAPER_-_77197228.23-P1P2_h5_Top5	SCAPER	2594	2962	1902	1430	1907	459
DZIP1L_-_137834403.23-P1P2_h5_Top5	DZIP1L	1449	1976	1018	1111	1110	281
ZNF211_+_58144581.23-P1P2_h5_Top5	ZNF211	1072	1871	810	814	1254	251
ZNF540_+_38085823.23-P1_h5_Top5	ZNF540	1412	1896	950	806	1169	309
ZNF213_-_3185184.23-P1P2_h5_Top5	ZNF213	2068	2745	1524	1339	1748	396
DDX46_+_134094862.23-P1_h5_Top5	DDX46	1298	1476	888	822	1059	301
