gene	fold_change	log_fold_change	score_low	pvalue_low	fdr_low	score_high	pvalue_high	fdr_high	pvalue	fdr	phenotype_score
ZNF730	1.083148722903622e0	1.1523134734562016e-1	5.649130863916522e-1	6.352053356716755e-1	1e0	2.7234648876861375e-2	8.01679354830138e-2	8.398144625335825e-1	8.01679354830138e-2	8.398144625335825e-1	1.2629347607323738e-1
PLXNA3	1.0710915145724147e0	9.908174991018522e-2	4.744730867072468e-1	6.874327394475667e-1	1e0	2.8702853174959577e-3	1.2519873694093471e-2	3.007278348339172e-1	1.2519873694093471e-2	3.007278348339172e-1	1.88493126226396e-1
NELFCD	8.649882176036924e-1	-2.0924761360677896e-1	5.879522145844301e-3	1.915846254002418e-2	4.6073480164998565e-1	1e0	1e0	1e0	1.915846254002418e-2	4.6073480164998565e-1	-3.5941193415427636e-1
NHLH2	9.538139720682566e-1	-6.82201784940051e-2	3.112127129491608e-1	4.4963042679173254e-1	1e0	1e0	1e0	1e0	4.4963042679173254e-1	1e0	-2.3682246617176644e-2
ZNF718	9.896585974582189e-1	-1.4997170402115434e-2	2.080456769403837e-1	4.2673415972471335e-1	1e0	3.489660663870701e-1	6.030664168892077e-1	1e0	4.2673415972471335e-1	1e0	-5.5465923565888664e-3
ANKRD34B	9.892130827784664e-1	-1.564677475635498e-2	7.469354263769276e-1	8.543451977626317e-1	1e0	9.203043194188799e-1	9.399958370423515e-1	1e0	8.543451977626317e-1	1e0	-1.0697170629386055e-3
DZIP1	9.916867996441113e-1	-1.204354276927148e-2	1e0	1e0	1e0	1e0	1e0	1e0	1e0	1e0	0e0
SCAF4	9.344758857156252e-1	-9.777065938921684e-2	2.1699913227625447e-2	6.453027223085815e-2	7.379260248778099e-1	5.203332551491052e-1	6.339121615936156e-1	1e0	6.453027223085815e-2	7.379260248778099e-1	-1.1637020770308835e-1
POU4F3	9.471668087652441e-1	-7.830956889176147e-2	1.0550739219522592e-1	2.2022488828658862e-1	1e0	3.628533849444486e-1	5.071456725169508e-1	1e0	2.2022488828658862e-1	1e0	-5.145984904919811e-2
TULP3	1.0448678881087634e0	6.332054113939735e-2	9.558819843395214e-1	9.561295122696534e-1	1e0	2.5738318946228655e-1	4.973937227913074e-1	1e0	4.973937227913074e-1	1e0	1.920510112604071e-2
TGIF2LY	9.957767786031105e-1	-6.105722569116341e-3	7.102464960946292e-1	7.113741746050726e-1	1e0	1e0	1e0	1e0	7.113741746050726e-1	1e0	-9.03048001129597e-4
SKOR1	1.0646524083236115e0	9.038249088344241e-2	2.951266921941369e-1	4.2478111257257495e-1	1e0	1.3086844446602507e-2	3.802020363063051e-2	6.003469915941516e-1	3.802020363063051e-2	6.003469915941516e-1	1.2834183206208905e-1
MED4	8.287758273916168e-1	-2.7094616981995295e-1	8.654478596006489e-2	1.874748118918871e-1	1e0	1e0	1e0	1e0	1.874748118918871e-1	1e0	-1.9699332930241825e-1
PRDM8	1.062868526821574e0	8.79631514944578e-2	9.382559196898052e-1	9.431180552787631e-1	1e0	5.1078237797663455e-2	1.6724460919127904e-1	1e0	1.6724460919127904e-1	1e0	6.831639442108293e-2
TFAP2C	1.0281811881464828e0	4.0094521542391265e-2	1e0	1e0	1e0	4.791093497348984e-1	6.168041771294193e-1	1e0	6.168041771294193e-1	1e0	8.413943352785976e-3
CREM	9.963774476164486e-1	-5.23572744362433e-3	4.182535488396994e-1	5.595147940000266e-1	1e0	8.142891184277894e-1	8.149432464869509e-1	1e0	5.595147940000266e-1	1e0	-1.3203898624743159e-3
RBM4	9.243950736765508e-1	-1.1341852352983645e-1	1.7987240836377868e-5	1.1071695873800382e-4	8.387059630439649e-3	9.131367120301198e-1	9.176487260906727e-1	1e0	1.1071695873800382e-4	8.387059630439649e-3	-4.4865939076487643e-1
