sgrna	gene	base	control	treatment	adj_var	fold_change	log2_fold_change	pvalue_low	pvalue_high	pvalue_twosided	fdr	product
ZNF730_+_23300127.23-P1P2_h5_Top5	ZNF730	2123.283719945277	2077.286478271428	2169.2809616191257	17593.19538251503	1.0442645825344599	0.062487290020461994	7.604623122483347e-1	2.395376877517197e-1	4.790753755034394e-1	8.426348709960219e-1	1.997069739725172e-2
PLXNA3_+_153687045.23-P1_h5_Top5	PLXNA3	1267.6621814595	1265.5320654163343	1269.792297502666	10539.710151212726	1.00336369856134	0.0048446478262469655	5.285902645668971e-1	4.7140973543331777e-1	9.428194708666355e-1	9.891117963405663e-1	1.2388470413345946e-4
NELFCD_-_57556782.23-P1P2_h5_Top5	NELFCD	592.1501300174164	665.563055791889	518.7372042429438	5423.914736692887	0.7797269886574895	-0.358959023549038	1.7535133292042676e-2	9.824648667079597e-1	3.507026658408535e-2	3.1182718731357323e-1	-5.223072516594617e-1
NHLH2_-_116383658.23-P1P2_h5_Top5	NHLH2	875.3968572669819	906.0293499985783	844.7643645353854	7460.869313800679	0.9324553439607122	-0.10089345969544983	2.4546970702463777e-1	7.545302929753063e-1	4.9093941404927555e-1	8.496098667094547e-1	-3.1173264125602288e-2
ZNF718_+_124420.23-ENST00000510175.1,ENST00000511079.1,ENST00000513304.1,ENST00000513889.1_h5_Top5	ZNF718	480.9150205791743	445.1145547378895	516.7154864204591	3578.5346916670765	1.1604989815332032	0.21474525655775784	8.831081818979444e-1	1.1689181810204238e-1	2.3378363620408477e-1	7.03451326862174e-1	1.3554417604635743e-1
ANKRD34B_-_79864932.23-P2_h5_Top5	ANKRD34B	3132.6536767131947	3247.411688326868	3017.895665099522	27923.820159908817	0.9293451553409596	-0.1057135871726803	8.289965641485116e-2	9.171003435850786e-1	1.657993128297023e-1	6.229710806639802e-1	-8.250070950015476e-2
DZIP1_-_96296449.23-P1P2_h5_Top5	DZIP1	2037.5931548700987	1996.1918062124926	2078.9945035277046	16883.55823804575	1.0414595618996858	0.058606823075736884	7.432019873940359e-1	2.567980126057452e-1	5.135960252114904e-1	8.591740326951094e-1	1.695954552535186e-2
SCAF4_-_33104343.23-P1P2_h5_Top5	SCAF4	2354.713102147949	2255.767403858416	2453.6588004374826	19158.312711834427	1.0876879895733738	0.1212647694088017	9.214226878040332e-1	7.85773121960695e-2	1.57154624392139e-1	6.101977959675137e-1	9.745720101870223e-2
POU4F3_+_145718910.23-P1P2_h5_Top5	POU4F3	1157.84915909652	1229.1326679109718	1086.5656502820682	10226.459967759698	0.8841043561008644	-0.17771142533461512	7.590087652856971e-2	9.240991234713913e-1	1.5180175305713942e-1	6.04056409806617e-1	-1.454964691428858e-1
TULP3_-_2986438.23-P1_h5_Top5	TULP3	1676.2366875403534	1646.6872310671001	1705.7861440136066	13836.903162131342	1.03586779810646	0.05083989184069384	6.996378323294086e-1	3.0036216767044627e-1	6.007243353408925e-1	8.903121776606399e-1	1.1252127593596587e-2
TGIF2LY_+_3447292.23-ENST00000321217.4,ENST00000559055.2_h5_Top5	TGIF2LY	1576.652722743041	1541.0688204577298	1612.2366250283521	12920.353015114579	1.0461508615092145	0.06509091225159332	7.403997963828395e-1	2.596002036171236e-1	5.192004072342472e-1	8.601337352410628e-1	1.8529102945874936e-2
SKOR1_-_68115861.23-P1P2_h5_Top5	SKOR1	865.9793777493079	827.1291034210607	904.8296520775551	6790.215623440718	1.0938266127050817	0.1293840682810374	8.297698529637834e-1	1.702301470361804e-1	3.404602940723608e-1	7.611369362130258e-1	6.054314380526693e-2
MED4_+_48668988.23-P1P2_h5_Top5	MED4	642.9746561218035	620.8200135517343	665.1292986918728	5047.422193801813	1.0712574123934209	0.09930518686868038	7.430002050719251e-1	2.569997949280128e-1	5.139995898560256e-1	8.591740326951094e-1	2.870289589367725e-2
PRDM8_+_81105153.23-P2_h5_Top5	PRDM8	1068.6031997679086	950.1574597651544	1187.0489397706629	7836.836414252564	1.2490560081019584	0.32083816933923254	9.942188486040384e-1	5.7811513959622664e-3	1.1562302791924533e-2	1.5972639686573475e-1	6.214493085495338e-1
TFAP2C_+_55204782.23-P1P2_h5_Top5	TFAP2C	1001.2249793476078	972.2878645013502	1030.1620941938654	8025.610371096411	1.0594626027954908	0.08333266395954265	7.480809953973987e-1	2.5191900460252253e-1	5.038380092050451e-1	8.554362227935919e-1	2.4808890114227877e-2
CREM_-_35416657.23-ENST00000395895.2_h5_Top5	CREM	1022.9254784576515	1081.7260850845803	964.1248718307226	8961.213554886153	0.8913841507340511	-0.16588078556419755	1.0492205054392517e-1	8.950779494561155e-1	2.0984410108785034e-1	6.754940867885165e-1	-1.1248429726586806e-1
RBM4_+_66406324.23-P2_h5_Top5	RBM4	319.9021623661137	426.74308137017	213.06124336205744	3425.9692097229604	0.5004434967746638	-0.9987209059953258	5.357124420583288e-6	9.999946428755794e-1	1.0714248841166576e-5	5.818802782666174e-4	-4.9636811250899795e0
